83519466112894.45, 364948.6484772064
86232359837032.72, 449118.055548532
90766737790383.42, 560953.7280181696
95532955056303.31, 754540.2357731651
101203834869680.5, 956503.7901911106
111408053079034.64, 1492174.941499701
123441010212815.7, 2161543.343605163
135900496074695.44, 3039713.2602319447
147717513903875.06, 3910881.69014497
160566494539482.2, 4884737.179504812
171202444867816.72, 5922869.841070688
186089089154164.03, 7620338.246242248
200984487460380.8, 9239856.704429956
219873442830567.1, 11713037.343268866
243645064662615.62, 15294995.594311211
264841811046509.34, 18822534.92266168
287886615234190.3, 22822809.156179562
305000953073678.9, 26469563.594392978
333665600098282.7, 33554523.27442596
367374471670692.3, 43171101.83132279
396786234705269.9, 51575844.988605954
436883985668768.94, 64418836.34963184
471854122874140.94, 78109500.8781581
543403462692242.4, 109843037.04659185
613868209758290.8, 147750138.61480483
667283010975000.8, 179150854.56130072
744197498396729.1, 233936890.22999933
851560584410305, 324137750.4413327
937642033598579.5, 393025384.14893556
1093831172943314.1, 536554366.97121376
1220029672846874.2, 631581186.1461481
1396251572252935, 743437793.5371045
1508159461631960.8, 812589571.8698585
1759771979387080.5, 875104840.0156448
1962991662181651.8, 928562538.6957422
