PGC,OBJNAME,V,V_VIR,MOD,MOD_ERR,D,D_ERR
4689212,SAGITTARIUS_DWARF_SPHEROIDAL,140.0,121.9000015258789,17.136,0.157,0.0268,0.00194
4713562,BOOTES3,197.5,407.3999938964844,18.31,0.09,,
4713556,SDSSJ1049+5103,-12.3,190.78704891689435,18.41,,0.0480839,
17223,ESO056-115,284.2,-28.502654178446576,18.4913,0.0843908,0.0499178,0.00193998
3085,NGC0292,161.8,-120.90238615297727,18.9444,0.0594045,0.0614999,0.00168244
60095,UGC10822,-295.6,19.75383461124821,19.4187,0.088554,0.0765147,0.00312032
3589,ESO351-030,109.4,-97.4587672359209,19.6105,0.129445,0.0835784,0.00498224
88608,PGC088608,225.8,174.1746807156176,19.7546,0.143129,0.0893125,0.0058869
10074,ESO356-004,32.5,-219.56616702837135,20.8176,0.0443686,0.145721,0.00297745
4713561,LEO4,132.3,137.80719957253564,20.9196,0.0771188,0.15273,0.00542415
4713563,LEO5,173.3,190.95573767460402,21.2039,0.122112,0.174089,0.00978981
34176,UGC06253,85.9,186.25562146949727,21.7889,0.161741,0.227914,0.016976
29488,UGC05470,282.4,295.9770730921812,22.0465,0.159618,0.256631,0.0188641
4713564,LEOT,38.0,55.272525369307374,23.0717,0.123445,0.411465,0.0233912
6830,ESO245-007,-52.0,-312.1273122608766,23.0798,0.125885,0.413006,0.0239429
63616,NGC6822,-56.0,-9.168299381377281,23.1912,0.45637,0.434754,0.0913705
5056927,ANDROMEDA16,-367.3,-271.79899246710477,23.7657,0.147717,0.566415,0.038531
5072713,AGC198606,51.2,61.599998474121094,23.96,,0.619441,
4601,[RC2]A0113+33,-192.4,-100.27506471257095,24.0315,0.0570644,0.640185,0.0168235
2329,NGC0185,-203.6,-29.69682715496208,24.0768,0.0811729,0.653671,0.0244352
5056921,ANDROMEDA10,-163.9,-15.878909823258326,24.0807,0.12878,0.654858,0.0388367
3792,PGC003792,-284.4,-241.76987250691764,24.1676,0.213763,0.681577,0.0670956
5056923,ANDROMEDA11,-461.8,-353.03026105255947,24.3053,0.133112,0.726221,0.0445176
3844,IC1613,-231.6,-287.44154678044447,24.3299,0.0895693,0.73449,0.0302964
5057226,ANDROMEDA23,-237.7,-126.59454039679558,24.3386,0.0538601,0.737431,0.0182909
2666,PGC002666,-375.9,-247.79833936539765,24.3422,0.0736757,0.738647,0.0250615
2121,PGC002121,-345.0,-218.67338177026616,24.3604,0.107494,0.744858,0.0368727
1305,IC0010,-344.6,-125.65459128669978,24.3686,0.160549,0.747688,0.0552806
4608690,ANDROMEDA17,-251.6,-92.88051604244836,24.3755,0.101265,0.750071,0.0349792
5056922,ANDROMEDA14,-480.9,-393.9215264775145,24.386,0.427436,0.753699,0.148359
3097691,PGC3097691,-83.9,-178.83058593955343,24.4024,0.115862,0.759413,0.0405197
2004,NGC0147,-193.1,-16.155655711724066,24.4122,0.0783001,0.762861,0.0275076
2557,NGC0224,-290.0,-146.52945179592086,24.4386,0.138404,0.772187,0.0492171
2555,NGC0221,-199.7,-57.93001392183436,24.4424,0.146297,0.773524,0.0521141
5060429,ANDROMEDA28,-331.1,-160.38568276316872,24.4437,0.098791,0.774001,0.0352131
5056926,ANDROMEDA15,-323.0,-207.98714186153714,24.4488,0.134951,0.775822,0.0482152
2807155,PGC2807155,-307.4,-94.99612814964054,24.473,0.14511,0.784523,0.0524261
5057228,ANDROMEDA25,-107.8,64.05685158213119,24.54,0.186467,0.809083,0.069477
5060430,ANDROMEDA29,-194.4,-73.90917505565687,24.547,0.166266,0.811706,0.0621509
5057230,ANDROMEDA27,-539.6,-376.71168219534906,24.5705,0.239837,0.820552,0.0906291
5057231,ANDROMEDA21,-361.4,-190.38212356781887,24.5756,0.12798,0.822464,0.0484737
28868,UGC05364,23.9,120.93014952765604,24.5771,0.11318,0.823042,0.0428982
5056925,ANDROMEDA13,-185.4,-83.1023264004034,24.5852,0.118378,0.826116,0.0450359
5818,NGC0598,-182.3,-111.85473654624047,24.6491,0.1645,0.850796,0.064452
5057232,ANDROMEDA22,-129.3,-68.50329419937873,24.6558,0.1005,0.853412,0.0394977
5056924,ANDROMEDA12,-558.4,-447.5911404732782,24.6719,0.207544,0.859772,0.0821749
2429,NGC0205,-241.3,-94.97086767450263,24.6862,0.121894,0.865454,0.0485816
5056919,ANDROMEDA19,-111.6,16.512305270618242,24.7337,0.252802,0.884588,0.102983
69519,PGC069519,194.0,-45.52255551744227,24.7701,0.0814122,0.899519,0.0337245
143,PGC000143,-111.2,-211.2745331172378,24.9469,0.113311,0.975834,0.0509206
65367,PGC065367,-139.5,-109.88307981569098,25.0221,0.135058,1.01021,0.0628315
71538,UGC12613,-181.4,-115.77826533160268,25.0945,0.251492,1.04447,0.120967
63287,ESO594-004,-78.7,-41.70444554422145,25.1588,0.129334,1.07586,0.064079
5056918,ANDROMEDA18,-332.1,-154.62262256981847,25.5285,0.14657,1.27558,0.086099
29128,NGC3109,403.1,235.76286867070553,25.5544,0.101845,1.29085,0.0605425
29194,PGC029194,361.4,189.97315843094327,25.5686,0.0677448,1.29931,0.0405353
26142,UGC04879,-29.1,145.13886850968447,25.6534,0.104705,1.35107,0.0651467
29653,PGC029653,323.9,256.2331867834166,25.7239,0.119991,1.39568,0.0771225
28913,UGC05373,301.0,275.0802278878051,25.7449,0.110244,1.40922,0.0715454
2801026,PGC2801026,-75.3,234.51117642085427,26.4267,0.08563,1.92904,0.0760697
1641,ESO294-010,113.4,-103.7394206920242,26.4295,0.0587162,1.93155,0.0522287
1038,ESO410-005,36.0,-142.15090146853578,26.4356,0.046608,1.93696,0.0415746
3238,NGC0300,164.6,-52.84038403814708,26.4395,0.110396,1.94041,0.0986487
67908,IC5152,123.8,-61.48000922834461,26.4839,0.110963,1.98054,0.101207
166185,PGC166185,61.0,302.48221323789886,26.5619,0.123811,2.05299,0.117055
1014,NGC0055,129.2,-73.69252715052943,26.5646,0.10867,2.05553,0.102867
44491,UGC08091,217.0,345.7975218773925,26.6109,0.0703485,2.09982,0.0680273
9140,PGC009140,316.0,18.92974982127876,26.63,0.07,2.11836,0.0682879
39228,PGC039228,154.0,395.90023240059617,26.6425,0.838805,2.13056,0.823001
71431,ESO407-018,62.0,-89.982990466632,26.7085,0.0914343,2.19636,0.0924822
50961,UGC09128,152.9,357.6767484245118,26.7652,0.147561,2.2545,0.153203
39573,IC3104,429.4,162.882757411638,26.8015,0.0742344,2.29249,0.0783715
69468,ESO468-020,92.0,-27.758633367515756,26.8186,0.0930226,2.3106,0.0989827
60849,IC4662,305.5,118.66823843050815,26.9936,0.0538354,2.50449,0.0620917
2807157,PGC2807157,-134.3,26.647686858522178,27.019,0.0951968,2.53396,0.111088
2807150,PGC2807150,285.7,399.7646493718939,27.0744,0.133903,2.59946,0.160295
47495,UGC08508,59.9,333.7174275749285,27.0752,0.0597723,2.60042,0.0715795
37050,UGC06817,248.5,438.24692987736444,27.1064,0.0778957,2.63803,0.0946321
40904,UGC07577,199.3,421.9726820972106,27.1142,0.0874463,2.64756,0.106619
47762,NGC5206,582.2,430.48787889130574,27.1484,0.191106,2.68949,0.236696
51472,UGC09240,151.9,423.9538375085232,27.2419,0.056015,2.80789,0.0724321
39023,NGC4190,157.7,351.17093392355844,27.3337,0.0731595,2.92918,0.0986875
38881,NGC4163,163.9,354.90211967105046,27.3355,0.0502559,2.9316,0.0678482
39225,NGC4214,292.0,485.37201754771695,27.3616,0.0729118,2.96697,0.0996224
43129,UGC07949,331.9,541.5799395999596,27.39,0.1,3.00608,0.138435
39145,PGC039145,,476.6348110686047,27.3904,0.103455,3.00664,0.143244
15345,NGC1569,-95.2,93.63522161354777,27.4373,0.302457,3.07226,0.427925
4126,NGC0404,-52.0,54.20003954397606,27.4466,0.0490069,3.08547,0.0696346
21302,PGC021302,213.0,419.0096657918252,27.4505,0.0609986,3.09103,0.0868298
14241,PGC014241,70.8,271.7699519934721,27.4594,0.0530545,3.10368,0.0758307
48332,UGC08651,201.8,448.22652620218247,27.4686,0.0887501,3.11694,0.127392
15488,NGC1560,-37.8,180.29786706948818,27.4736,0.173673,3.12411,0.249864
49452,UGC08833,224.7,463.4185942411327,27.4744,0.0834517,3.12524,0.120106
15439,PGC015439,-107.4,75.91233710328096,27.4747,0.0788265,3.12571,0.113466
54392,ESO274-001,523.3,408.674104763032,27.4836,0.0671262,3.13855,0.0970214
45104,ESO269-037,743.8,587.0202949840171,27.5016,0.114539,3.16459,0.166924
21396,NGC2403,140.9,342.2330741513145,27.507,0.0745226,3.17247,0.108876
621,ESO349-031,225.9,42.71741210039315,27.5162,0.066832,3.18599,0.098056
49050,ESO383-087,327.9,238.00344050742493,27.52,0.104989,3.19154,0.154309
35878,NGC3741,228.7,433.1866002282311,27.5321,0.0870236,3.20943,0.128621
39032,ESO321-014,611.2,466.56176050613317,27.5562,0.10574,3.24517,0.158024
49158,UGC08760,190.7,434.1142673792079,27.5599,0.0861863,3.2508,0.129025
63000,NGC6789,-167.0,140.38443806891956,27.5707,0.451147,3.26688,0.678729
21102,NGC2366,99.6,313.9139040506611,27.5781,0.0723446,3.27805,0.109211
2902,ESO540-031,294.6,141.6495440237828,27.6085,0.0790603,3.32433,0.121034
166084,PGC166084,76.6,274.20067367011654,27.6242,0.145111,3.34849,0.223766
48139,NGC5237,360.9,234.22855501368622,27.6344,0.0727779,3.36416,0.112751
95597,PGC095597,11.0,260.59268463107355,27.6353,0.0646369,3.36551,0.100179
2881,ESO540-030,223.5,83.26189504359397,27.6438,0.0693025,3.37878,0.107834
23324,UGC04305,157.9,384.61335168744733,27.6466,0.0544264,3.3832,0.0847975
13826,IC0342,25.0,231.0908046295356,27.6602,0.0832631,3.40441,0.130539
16957,PGC016957,111.2,288.3394699285168,27.6655,0.205069,3.41275,0.322293
9892,PGC009892,66.0,248.2155849823508,27.6702,0.177282,3.42006,0.279218
48738,ESO325-011,545.6,426.3970483346233,27.6704,0.101707,3.42045,0.160207
23521,PGC023521,113.4,341.88746914612614,27.6735,0.0675717,3.42526,0.106587
24213,UGC04483,157.0,383.48077488102706,27.6739,0.124929,3.42586,0.197097
73049,NGC7793,227.1,57.007710061810315,27.677,0.079281,3.43081,0.12526
10217,PGC010217,19.7,200.55608236190665,27.7106,0.143538,3.48432,0.230319
28655,NGC3034,231.3,472.8064144798126,27.7124,0.0747222,3.48724,0.119999
48334,NGC5253,407.7,335.2794943365169,27.7151,0.194988,3.49164,0.313533
166082,PGC166082,-49.3,172.74457865803276,27.7282,0.37077,3.5127,0.599779
46957,NGC5128,551.9,419.5220793800979,27.7337,0.100384,3.52164,0.1628
100170,PGC100170,110.3,285.12614178628445,27.734,0.292594,3.52215,0.47459
2789,NGC0253,242.6,73.5313395485176,27.7376,0.0957196,3.52794,0.155513
2933,ESO540-032,227.7,79.05643105279677,27.7507,0.126195,3.54933,0.206269
28120,NGC2976,4.6,239.48098579821095,27.7573,0.0347025,3.56007,0.0568938
29257,UGC05428,-127.4,107.98853118767542,27.7603,0.133576,3.56498,0.219297
28630,NGC3031,-37.9,201.94021122498685,27.7778,0.101893,3.59384,0.168635
47728,ESO174-001,1382.0,1208.3905188604433,27.78,,3.59749,
30664,PGC030664,55.0,298.4411825272201,27.7803,0.0873434,3.59801,0.144723
45279,NGC4945,563.9,396.06779417790267,27.7839,0.118887,3.60402,0.197319
46674,NGC5102,467.5,362.870746544318,27.7857,0.330451,3.60696,0.548901
51659,PGC051659,392.2,267.3637840282425,27.7866,0.118529,3.60841,0.196963
28731,PGC028731,216.1,455.0277017890607,27.79,0.08,3.6141,0.133148
42275,PGC042275,299.1,491.7120038373853,27.8051,0.0618506,3.63927,0.103658
2758,NGC0247,155.4,5.034905310670979,27.8059,0.182687,3.64071,0.306295
24050,UGC04459,23.9,237.5160642449186,27.8059,0.0438112,3.64061,0.0734521
45916,ESO269-066,784.0,638.3320541244843,27.8265,0.0479026,3.67539,0.0810789
29735,UGC05497,186.3,416.93227742204465,27.8379,0.0739547,3.69478,0.125834
28757,UGC05336,53.3,293.524181467428,27.8412,0.0915783,3.70032,0.156055
3097827,PGC3097827,-125.0,107.96936965286685,27.8424,0.0607272,3.70237,0.10354
29388,UGC05442,-15.9,223.31661860403335,27.8446,0.0670278,3.70619,0.1144
4689195,IKN,-140.0,100.93591792228219,27.8476,0.0549385,3.71125,0.093895
47171,ESO324-024,514.3,389.7699046996137,27.8678,0.126206,3.74593,0.217713
45917,ESO269-068,647.0,508.4103892057718,27.8793,0.0462364,3.76577,0.0801831
100040,PGC100040,12432.0,12148.046632159474,27.88,0.1,3.76704,0.173479
2807103,PGC2807103,37.9,205.83936065403432,27.88,0.06,3.76704,0.104087
50077,NGC5434,4636.7,4779.196791860957,27.9,1.21,3.80189,2.11851
29146,NGC3077,-7.9,232.80357610501864,27.9016,0.0611105,3.80464,0.107072
45717,ESO269-058,400.1,244.44247766534755,27.902,0.0513382,3.80538,0.0899672
28759,PGC028759,99.0,339.82168746502896,27.9092,0.0715132,3.818,0.125738
28826,PGC028826,89.4,324.0363805421356,27.91,0.0727607,3.81944,0.12798
29167,PGC029167,55.0,295.68737145504844,27.91,0.24,3.81944,0.42214
30819,IC2574,46.0,291.6958871192494,27.9187,0.0530402,3.83485,0.0936696
4689216,[HS98]117,-37.0,213.29747455240235,27.9217,0.0465336,3.84009,0.0822913
28529,PGC028529,-40.0,199.2051931406694,27.9489,0.0621043,3.8885,0.111211
30997,UGC05692,56.0,307.13927107613455,27.953,0.0582108,3.89577,0.104434
46663,PGC046663,741.0,598.0915517116288,27.9723,0.0933203,3.93062,0.168921
27605,UGC05139,140.0,382.3038313185882,27.9771,0.0487269,3.93923,0.0883945
5896,NGC0625,390.3,143.97952825191717,28.0232,0.167854,4.02388,0.311044
26761,NGC2915,465.2,178.32278017158535,28.0265,0.10752,4.0299,0.199539
43869,NGC4789A,374.2,554.0978065684704,28.03,0.0443796,4.03637,0.0824935
35684,UGC06541,251.0,466.8504454225198,28.0521,0.164218,4.07782,0.308386
40973,NGC4449,203.6,428.2744017107573,28.1037,0.178629,4.17576,0.343505
39316,UGC07298,172.1,413.8911170690359,28.1115,0.113138,4.19078,0.218348
45939,UGC08308,163.9,413.8984649830227,28.1175,0.13781,4.20247,0.266705
50779,ESO097-013,435.5,226.10449017214785,28.12,0.36,4.20727,0.697506
2807102,PGC2807102,60.6,235.5206477865683,28.15,,4.2658,
48369,PGC048369,582.2,523.5377916245085,28.1551,0.134399,4.27586,0.264647
8484,UGC01703,40.0,104.00619338677444,28.1578,0.114565,4.28114,0.22587
48280,UGC08638,275.0,469.20770092038333,28.16,0.0431968,4.28549,0.0852506
12286,NGC1313,465.6,159.192479321252,28.1725,0.0710854,4.31024,0.1411
166142,PGC166142,294.9,525.3925391295462,28.18,0.1,4.32514,0.19918
39422,NGC4244,245.2,444.6676997408873,28.1829,0.155316,4.33084,0.309765
45314,IC4182,313.5,535.8478630780502,28.188,0.0943417,4.34109,0.188603
38148,NGC4068,209.6,447.41229494800905,28.195,0.0375682,4.35509,0.0753464
46127,UGC08331,265.4,519.0609506173216,28.1986,0.0993801,4.36243,0.199652
72228,ESO471-006,267.6,107.73719302896322,28.2049,0.22641,4.37496,0.456159
46039,UGC08320,192.0,441.4504855231944,28.21,0.138856,4.38523,0.280416
45506,UGC08215,219.4,468.5096628497537,28.2121,0.193687,4.38957,0.391533
35286,UGC06456,-107.0,166.52582754352386,28.2129,0.0709344,4.39118,0.143445
39346,NGC4236,-3.7,269.16309732370235,28.2169,0.224282,4.39924,0.45438
13115,UGC02773,219.7,335.3077770961309,28.22,0.4,4.40555,0.811532
49615,ESO384-016,505.0,421.9184322232844,28.2247,0.0593959,4.41505,0.120764
2807110,PGC2807110,211.3,261.8888319611321,28.23,,4.42588,
53639,ESO223-009,588.2,463.13618597565835,28.2373,0.485264,4.44082,0.992401
21199,ESO059-001,529.4,224.42553537780694,28.2623,0.0573798,4.49212,0.118701
47853,NGC5238,228.7,498.0532586925983,28.2652,0.0472338,4.49813,0.0978433
166115,PGC166115,211.9,416.260373336634,28.27,,4.50817,
48111,ESO444-084,587.4,531.537137698771,28.28,0.1,4.52898,0.208567
41048,UGC07605,309.2,507.0946157252787,28.2898,0.160644,4.54938,0.33656
6430,ESO245-005,393.7,137.87948343573711,28.2914,0.0848073,4.55272,0.177807
42656,IC3687,354.1,568.0989686891421,28.2999,0.103299,4.57068,0.217432
41036,UGC07596,564.4,649.6234946907667,28.31,,4.59198,
46885,PGC046885,486.3,409.9111547990175,28.3166,0.127223,4.60595,0.269855
36758,UGC06757,81.8,333.76272357159235,28.32,0.1,4.61318,0.212445
95594,PGC095594,108.5,332.31199845618477,28.32,,4.61318,
43495,NGC4736,313.5,539.6872727890429,28.3337,0.0660994,4.64231,0.141311
1034,NGC0059,366.0,231.26878240479428,28.3494,0.147938,4.67608,0.318572
44182,NGC4826,407.6,567.2041330058454,28.3573,0.0802108,4.69315,0.173358
41020,UGC07599,292.0,495.02572535563183,28.3629,0.127302,4.70521,0.275841
45546,UGC08245,-26.3,259.3753109633782,28.37,0.1,4.72063,0.217393
57888,ESO137-018,605.4,435.4635235678852,28.3722,0.423831,4.72536,0.922302
48467,NGC5264,477.9,414.7835337698718,28.3745,0.0909441,4.73046,0.198118
48082,NGC5236,508.4,443.3610819975522,28.3958,0.0977827,4.77706,0.215114
3974,UGC00685,155.9,170.81049415577624,28.4002,0.0459603,4.78673,0.101314
47368,NGC5204,201.5,480.1884623879711,28.4011,0.104882,4.78862,0.23129
45372,UGC08201,31.2,313.6108889143597,28.4091,0.0479776,4.80645,0.106196
40596,NGC4395,317.7,506.39994185157957,28.4145,0.0559621,4.81844,0.124178
44055,PGC044055,418.9,567.6082203013085,28.42,0.118462,4.83059,0.263526
2578,IC1574,361.1,206.87478686928952,28.4232,0.12488,4.8376,0.278207
38685,PGC038685,339.0,529.8087333234595,28.43,0.1,4.85289,0.223484
36882,ESO440-011,1938.7,1823.2994011691221,28.44,0.43,4.87528,0.965415
35856,NGC3738,224.5,456.43857718221795,28.4633,0.194491,4.92779,0.441365
40791,UGC07559,217.2,419.2194575009077,28.4737,0.125346,4.95147,0.285818
592761,PGC592761,491.5,378.3457848236076,28.4912,0.116207,4.99157,0.267125
166170,PGC166170,390.0,326.2138008805415,28.492,0.136722,4.99353,0.314408
42863,NGC4656,645.5,838.7177353507918,28.4997,0.348609,5.01116,0.804494
166065,PGC166065,163.9,213.1713210547567,28.5249,0.0578441,5.06972,0.135048
47073,IC4247,419.7,347.30990746926363,28.5263,0.0796636,5.07297,0.186109
9962,ESO115-021,513.9,215.42339474666812,28.5351,0.11567,5.09348,0.27132
41636,UGC07698,331.1,516.2013245193606,28.5371,0.103482,5.09814,0.242953
50073,NGC5408,506.3,396.43457397538504,28.5431,0.1345,5.11239,0.316659
46400,NGC5068,671.0,640.7031844328018,28.563,0.0945585,5.1595,0.224675
41258,UGC07636,467.6,550.3945061263561,28.58,,5.19996,
37369,ESO379-007,641.5,506.5788145267611,28.5835,0.141379,5.20826,0.339096
166163,PGC166163,571.3,490.5384572399977,28.59,0.125392,5.22396,0.301658
6699,UGC01281,142.9,215.67475033050687,28.6078,0.0534337,5.26697,0.129605
20125,PGC020125,564.2,256.72025237222044,28.62,0.1,5.29663,0.243919
42936,ESO381-018,621.2,501.83375277137714,28.6343,0.094611,5.33169,0.232302
48029,ESO444-078,570.9,508.7390542463129,28.6411,0.0620998,5.3484,0.152953
7671,NGC0784,188.8,237.61061515385185,28.6541,0.0818238,5.38052,0.202745
43048,ESO381-020,587.9,478.8042230645448,28.6566,0.0778473,5.38678,0.193116
31442,NGC3299,602.3,635.1727128858822,28.66,0.4,5.39511,0.993815
70089,NGC7412A,929.4,752.0152428373033,28.663,1.60299,5.40262,3.98824
39058,UGC07242,63.6,331.61232225668505,28.6711,0.0433065,5.42266,0.108146
16282,NGC1705,629.2,317.017187493135,28.6865,0.131413,5.46139,0.330512
86644,PGC086644,581.8,738.8350907994368,28.7,,5.49541,
12460,NGC1311,571.4,272.0935844669963,28.704,0.0581855,5.50555,0.147524
65001,NGC6946,45.8,336.3247677146062,28.708,0.490621,5.51566,1.24621
39423,NGC4242,516.3,740.6610183260791,28.7204,0.345595,5.54732,0.882868
5059213,AGC749241,451.0,619.9943792146229,28.75,0.06,5.62341,0.155381
42408,NGC4605,146.0,414.62336504113784,28.7503,0.0813364,5.62417,0.210663
40665,PGC040665,279.9,516.0790421186689,28.8052,0.137827,5.76808,0.36611
52125,ESO222-010,621.4,484.0074572866241,28.82,,5.80764,
11139,ESO154-023,574.8,277.7893999468639,28.8357,0.058911,5.8497,0.1587
36014,ESO320-014,654.0,487.1688678752306,28.8432,0.0672766,5.87001,0.181865
65603,IC5052,588.9,361.60359766306664,28.848,0.136222,5.88314,0.369064
647,NGC0014,864.7,910.175420554557,28.8641,0.411351,5.9267,1.12272
43978,ESO443-009,643.4,564.5825338329965,28.8684,0.104985,5.93867,0.287119
44982,PGC044982,748.9,728.33430160997,28.8861,0.464539,5.98714,1.28082
52142,UGC09405,217.7,512.5109617589204,28.8928,0.143519,6.00576,0.396937
18731,ESO121-020,581.8,268.8444035061449,28.8965,0.0760882,6.01592,0.210797
11211,ESO199-007,630.4,339.86658615056075,28.9,0.1,6.0256,0.277489
45084,PGC045084,743.3,722.4039656610387,28.9063,0.234025,6.04322,0.651292
19337,ESO490-017,500.6,251.03023465954416,28.934,0.273503,6.1207,0.770918
60921,NGC6503,39.4,351.3896121198303,28.9478,0.160834,6.15962,0.456224
45849,NGC5023,406.9,650.6177041348915,28.9801,0.337986,6.25197,0.973107
19041,ESO489-056,491.7,239.15483367720677,29.0,0.1,6.30957,0.290567
29299,PGC029299,721.0,635.5027225117226,29.01,0.27,6.3387,0.788151
32287,NGC3380,1596.2,1710.470590132471,29.01,0.43,6.3387,1.2552
11329,NGC1156,373.1,380.16948256430635,29.02,0.4,6.36796,1.17302
43330,NGC4700,1408.3,1408.987908361795,29.0275,0.586087,6.39013,1.72471
13163,IC1959,639.9,340.19889754317416,29.0381,0.16908,6.42124,0.499986
42134,PGC042134,453.8,666.2147528911397,29.0455,0.120336,6.44307,0.357055
38688,NGC4144,265.4,488.8723163670975,29.0541,0.440428,6.46884,1.31204
28317,UGC05272,519.6,615.3241684080867,29.06,0.4,6.48634,1.19483
43255,NGC4707,468.0,719.6228397269977,29.0749,0.117592,6.53106,0.353677
62814,UGC11411,87.4,394.12881441355154,29.09,0.1,6.57658,0.302863
42575,NGC4618,537.5,759.4741800196689,29.1069,0.451065,6.62798,1.37679
53500,ESO273-014,1052.1,929.2377450194264,29.1109,0.967115,6.64033,2.95742
47847,ESO270-017,828.7,688.7620559270435,29.1173,0.35732,6.65972,1.09587
17302,ESO553-046,542.0,302.9887884113349,29.13,0.1,6.69885,0.308493
2807128,PGC2807128,595.3,539.148831445148,29.13,,6.69885,
930,NGC0045,465.7,324.38420232223314,29.1313,0.202672,6.70282,0.625602
50262,NGC5477,314.8,598.5105707784758,29.15,0.113102,6.76083,0.352141
42944,IC3718,848.9,961.1249920485715,29.16,,6.79204,
1777,UGC00288,188.0,346.7352695955435,29.17,0.1,6.82339,0.314229
20445,UGC03755,314.1,234.3444894231715,29.1798,0.301503,6.85426,0.951694
50063,NGC5457,236.9,519.7734416260355,29.1829,0.0861566,6.86413,0.272345
31477,UGC05764,582.0,702.8252880173692,29.19,0.4,6.88652,1.26854
41701,PGC041701,837.4,1029.374080980835,29.19,,6.88652,
50216,NGC5474,257.0,539.4040435126951,29.1976,0.122713,6.91071,0.390533
31961,ESO376-016,669.0,482.25627970663766,29.2,0.1,6.91831,0.3186
32250,ESO318-013,716.2,525.1578050084727,29.2,0.1,6.91831,0.3186
16389,PGC016389,662.5,363.81754607528,29.21,0.1,6.95024,0.320071
62918,IC4824,948.1,764.900150553007,29.23,0.2,7.01455,0.646064
72675,ESO149-003,574.5,341.44318109051005,29.23,0.1,7.01455,0.323032
41239,UGC07639,381.6,616.7259162588562,29.2489,0.202401,7.07581,0.659529
32405,UGC05918,338.8,583.14137527773,29.25,0.4,7.07946,1.30408
4091250,SDSSJ100036.54+303209.7,486.6,583.2769375488995,29.26,,7.11214,
2544,PGC002544,238.6,379.1901217684507,29.2755,0.122759,7.16316,0.404951
49448,UGC08837,142.5,422.20291133210344,29.2868,0.0585973,7.20044,0.194304
34554,NGC3621,730.1,578.2860272291467,29.2893,0.128766,7.20864,0.427466
42143,PGC042143,1642.4,1714.8117225134533,29.29,,7.21107,
44681,PGC044681,827.5,794.8690952849151,29.3056,0.119268,7.26295,0.398919
39918,UGC07408,459.2,685.7875868579697,29.308,0.109496,7.27121,0.366649
13294,PGC013294,736.9,444.55397942641224,29.31,0.1,7.2778,0.335155
39600,NGC4258,454.2,684.026418299904,29.3208,0.100244,7.31409,0.337647
32226,NGC3377A,572.6,618.9528585126454,29.3378,0.314308,7.3717,1.06701
61922,IC4710,739.3,540.0550740585772,29.34,0.1,7.37904,0.339817
6574,IC1727,337.5,384.9837882520868,29.3422,0.162535,7.38663,0.55289
14658,ESO483-013,897.4,655.6634097792909,29.35,,7.4131,
39461,NGC4248,482.7,712.3344704704181,29.35,,7.4131,
43775,NGC4765,717.3,797.9723145266403,29.35,0.45,7.4131,1.53624
81181,PGC081181,830.9,607.8303349603133,29.35,,7.4131,
2807142,PGC2807142,880.5,942.7633952687372,29.35,,7.4131,
26341,NGC2787,696.8,929.3909037970128,29.3512,0.162533,7.41732,0.555182
6595,NGC0672,426.1,473.89388575786205,29.3533,0.269966,7.42423,0.923009
31359,ESO501-023,1042.5,899.3546756338156,29.3699,0.58644,7.48141,2.02047
41576,UGC07690,530.7,753.1759555231745,29.37,0.4,7.4817,1.37818
42637,NGC4631,615.8,809.4076697749549,29.3727,0.0858143,7.49095,0.296034
42068,PGC042068,1794.6,1882.0483355525466,29.38,,7.51623,
39615,UGC07356,268.7,498.01026247030893,29.3866,0.0637725,7.53926,0.221415
46938,NGC5134,1758.5,1731.1128233968152,29.3965,0.856989,7.57346,2.98893
41063,UGC07608,536.6,758.9392286478587,29.4,0.4,7.58578,1.39735
71464,ESO347-017,691.8,520.0462994475854,29.4,,7.58578,
166132,PGC039958,567.5,769.7004764319532,29.4,,7.58578,
701,NGC0024,553.3,406.9390539022458,29.4104,0.493887,7.62227,1.73364
22277,UGC04115,347.1,302.82399305001917,29.4286,0.167437,7.68638,0.592677
29230,UGC05427,478.5,571.9297386773194,29.43,0.1,7.6913,0.354198
41066,NGC4455,642.8,791.169640774133,29.4332,0.534222,7.7027,1.895
31265,IC2596,3379.9,3105.235700501604,29.44,0.43,7.72681,1.53008
38739,NGC4151,989.0,1190.4419368787044,29.4585,1.64581,7.79285,5.90639
45628,PGC045628,683.8,618.4964696164479,29.46,,7.7983,
3466489,SDSSJ103044.29+060737.0,638.2,635.4546843620417,29.46,,7.7983,
25644,UGC04787,545.8,629.0608550227545,29.47,0.4,7.8343,1.44313
39191,UGC07267,461.9,701.0541251102691,29.47,0.4,7.8343,1.44313
39179,NGC4204,854.7,985.9463314795537,29.48,0.4,7.87046,1.44979
41902,UGC07751,605.2,823.9284437465697,29.49,,7.90679,
45512,PGC045512,956.6,941.9847550215032,29.49,0.4,7.90679,1.45648
5060050,AGC174585,356.0,280.93116532289804,29.49,0.05,7.90679,0.18206
43851,PGC043851,823.4,823.5000331515012,29.5,0.4,7.94328,1.46321
31923,UGC05829,629.4,766.0057127914553,29.51,0.4,7.97995,1.46996
29186,NGC3104,603.7,747.5082377933109,29.5113,0.544179,7.98458,2.00097
16744,NGC1800,803.5,528.89505899791,29.52,,8.01678,
68672,ESO238-005,705.9,523.328806206044,29.52,0.1,8.01678,0.369186
