PGC,OBJNAME,V,V_VIR,MOD,MOD_ERR,D,D_ERR
53428,UGC09623,8665.2,8934.19255560217,34.59,0.46,82.7942,17.5389
63711,ESO526-007,5960.2,5944.026019613169,34.59,0.4,82.7942,15.2513
64667,ESO596-035,6260.1,6276.267039237968,34.59,0.51,82.7942,19.4454
68476,IC1439,9639.2,9576.1297644736,34.59,0.61,82.7942,23.2582
70561,IC1471,9811.3,9758.171887269145,34.59,0.46,82.7942,17.5389
158229,PGC158229,4286.5,4281.182140441894,34.59,0.48,82.7942,18.3015
754076,PGC754076,7079.6,7045.170567239673,34.59,0.25,82.7942,9.53204
765441,PGC765441,6744.1,6490.866507745235,34.59,0.51,82.7942,19.4454
1041662,PGC1041662,7820.4,7833.4168975759285,34.59,0.49,82.7942,18.6828
64448,ESO462-007,6131.2,6098.663606190787,34.5902,0.231957,82.8002,8.84474
75665,PGC075665,7814.9,7501.729078450542,34.5903,0.365219,82.8067,13.9272
1736,UGC00279,6306.6,6411.181470585676,34.5905,0.275617,82.8121,10.511
3184,PGC003184,6794.8,6883.542774523276,34.5907,0.314466,82.8191,11.9936
10919,ESO416-041,6362.9,6116.843763655076,34.5909,0.288012,82.8287,10.9859
37409,UGC06891,6762.6,6867.68467881243,34.5949,0.313997,82.9794,11.9989
28248,UGC05258,5924.5,5938.253245293022,34.5953,0.257893,82.9981,9.8572
66497,UGC11713,4773.3,4922.157072774072,34.5953,0.249606,82.9984,9.54047
19788,UGC03576,5963.6,6087.411504760472,34.5956,0.196043,83.0092,7.49417
36671,UGC06736,5991.9,6023.034580252545,34.5962,0.232607,83.0328,8.89444
4971,UGC00909,5081.4,5189.601359311862,34.5967,0.275647,83.0501,10.5424
90721,PGC090721,4247.2,4043.7503781891764,34.5967,0.0057735,83.0488,0.22081
72930,NGC7787,6659.9,6639.331227979182,34.5974,0.247395,83.0767,9.46488
59838,NGC6314,6620.3,6868.381736391531,34.5981,0.268346,83.103,10.2697
5468,NGC0568,5679.5,5452.851716856468,34.5984,0.46567,83.1162,17.8242
5411,IC1704,6437.2,6431.616145791549,34.5997,0.266152,83.166,10.1935
2525,PGC002525,5952.8,5846.0914974071,34.6,0.56,83.1764,21.4503
3387,ESO151-012,7431.7,7172.7705343612515,34.6,0.45,83.1764,17.2369
3976,NGC0391,5347.1,5283.927647801326,34.6,0.46,83.1764,17.6199
4606,IC0090,5556.3,5445.487860108829,34.6,0.47,83.1764,18.0029
5534,UGC01060,4778.2,4689.40772363937,34.6,0.2,83.1764,7.66083
8120,UGC01607,6262.9,6391.1916945279045,34.6,0.4,83.1764,15.3217
15892,UGC03139,6292.4,6357.588761492252,34.6,0.4,83.1764,15.3217
19254,ESO365-029,7531.1,7256.441167841151,34.6,0.49,83.1764,18.769
21773,IC2205,4723.1,4740.647143346655,34.6,0.46,83.1764,17.6199
22883,UGC04253,5408.6,5295.091982418285,34.6,0.4,83.1764,15.3217
24286,PGC024286,8214.0,8204.711290944279,34.6,0.46,83.1764,17.6199
29338,NGC3111,7437.9,7609.192711069472,34.6,0.46,83.1764,17.6199
42642,IC0806,10337.6,10304.861930841109,34.6,0.59,83.1764,22.5994
46510,PGC046510,6180.6,6170.53983643597,34.6,0.48,83.1764,18.386
58886,PGC058886,6888.5,7123.130408370215,34.6,0.46,83.1764,17.6199
64515,PGC064515,6462.7,6492.71910270116,34.6,0.4,83.1764,15.3217
64591,ESO234-015,5759.9,5605.519164350478,34.6,0.57,83.1764,21.8334
66277,ESO464-027,5966.9,5897.978919914203,34.6,0.4,83.1764,15.3217
69783,UGC12199,6729.7,6924.07916985164,34.6,0.4,83.1764,15.3217
129350,PGC129350,9281.8,9000.465922834792,34.6,0.47,83.1764,18.0029
161238,PGC161238,5056.7,4900.462565064918,34.6,0.54,83.1764,20.6842
892361,PGC892361,7676.5,7451.888524898587,34.6,0.53,83.1764,20.3012
3840812,2MASXJ15092224+1056285,8299.9,8476.959862013431,34.6,0.46,83.1764,17.6199
8969,IC1793,5311.4,5370.617230271919,34.6003,0.484041,83.1894,18.5437
29358,ESO567-015,4985.3,4852.662148893618,34.6004,0.261616,83.1906,10.0227
17125,UGC03289,8877.2,8759.314731911642,34.6019,0.250284,83.2477,9.59513
72788,NGC7782,5360.9,5377.837847670983,34.6019,0.337532,83.2485,12.9401
55346,ESO582-018,6746.1,6774.663692428409,34.6028,0.258903,83.2839,9.92986
90969,PGC090969,7554.0,7813.0669893370605,34.6029,0.0283823,83.2859,1.08859
19498,ESO034-012,5543.4,5236.234851662475,34.6042,0.330598,83.3368,12.6877
56802,ESO516-002,7427.2,7434.183336570245,34.6064,0.258479,83.4212,9.92994
41625,PGC041625,4983.3,5045.887384828754,34.6068,0.254557,83.4371,9.78116
90758,PGC090758,7973.8,8111.989385314958,34.6071,0.0222361,83.4504,0.854541
52555,ESO327-012,5219.5,5127.118784783085,34.608,0.256248,83.4831,9.85156
55168,ESO514-019,6570.0,6564.99246496646,34.6083,0.254032,83.4967,9.76794
10766,PGC010766,5328.1,5168.505494359851,34.6088,0.466197,83.5126,17.9295
49952,NGC5409,6236.4,6378.288653676406,34.6091,0.350247,83.5254,13.4722
35639,UGC06533,5408.7,5444.401440506505,34.6098,0.242951,83.551,9.34793
43575,UGC08004,6183.6,6377.853541653327,34.6099,0.305896,83.5569,11.7707
548,UGC00056,5427.4,5465.715169134395,34.61,0.2,83.5603,7.69619
1340,NGC0079,5486.4,5556.725367588495,34.61,0.23,83.5603,8.85062
2603,IC0048,5957.2,5864.8543701261415,34.61,0.4,83.5603,15.3924
5154,ESO352-069,6046.0,5824.199451925374,34.61,0.4,83.5603,15.3924
10581,UGC02267,6052.0,6053.61798036525,34.61,0.4,83.5603,15.3924
10656,ESO416-026,7096.6,6859.474232972869,34.61,0.48,83.5603,18.4709
18566,ESO364-039,8887.5,8610.548886730625,34.61,0.45,83.5603,17.3164
21782,UGC04011,5785.4,5930.798918013396,34.61,0.54,83.5603,20.7797
21951,ESO035-017,5212.0,4911.351684782487,34.61,0.54,83.5603,20.7797
27219,UGC05100,5490.9,5452.257931571408,34.61,0.4,83.5603,15.3924
27634,PGC027634,6801.4,6893.468599491625,34.61,0.2,83.5603,7.69619
32626,NGC3407,5021.7,5256.56899826495,34.61,0.46,83.5603,17.7012
44169,PGC044169,7878.7,8073.301361630375,34.61,0.46,83.5603,17.7012
47430,ESO576-069,5364.5,5340.618194146567,34.61,0.4,83.5603,15.3924
49761,PGC049761,10480.0,10718.687038744332,34.61,0.46,83.5603,17.7012
49890,NGC5407,5395.8,5646.346555376941,34.61,0.46,83.5603,17.7012
50946,NGC5525,5529.4,5698.908327569817,34.61,0.4,83.5603,15.3924
51359,PGC051359,5101.9,5361.667074969696,34.61,0.33,83.5603,12.6987
51417,UGC09223,5259.3,5520.599662827763,34.61,0.33,83.5603,12.6987
55706,UGC09949,5792.9,5992.958444008486,34.61,0.2,83.5603,7.69619
57707,IC1211,5624.3,5933.306070773812,34.61,0.4,83.5603,15.3924
58974,ESO453-004,6767.6,6762.865657298147,34.61,0.54,83.5603,20.7797
61402,UGC11118,7246.6,7524.460341661277,34.61,0.38,83.5603,14.6228
64807,ESO285-020,6706.3,6587.737797964591,34.61,0.43,83.5603,16.5468
65054,NGC6941,6218.0,6294.3239735531915,34.61,0.4,83.5603,15.3924
70435,UGC12348,7619.5,7630.501157593684,34.61,0.2,83.5603,7.69619
73695,PGC073695,6850.0,6602.546506975321,34.61,0.25,83.5603,9.62024
140256,PGC140256,6519.4,6482.353862704176,34.61,0.25,83.5603,9.62024
184736,PGC184736,10493.7,10572.347155364672,34.61,0.57,83.5603,21.9341
419115,PGC419115,4639.8,4329.000198721159,34.61,0.57,83.5603,21.9341
